Internal ID,Date,Type,Document Number,Name,Amount Remaining,Amount,Memo,PO/Check Number,Status,Customer Internal ID
73551,12-03-2019,Invoice,I137797,Bluestem Brands,294,294,PO000076104007,,Open,4871
73552,12-03-2019,Invoice,I137796,Bluestem Brands,294,294,PO000076058347,,Open,4871
73553,12-03-2019,Invoice,I137795,Bluestem Brands,294,294,PO000076096022,,Open,4871
73554,12-03-2019,Invoice,I137794,Bluestem Brands,294,294,PO000076092480,,Open,4871
73555,12-03-2019,Invoice,I137793,Bluestem Brands,294,294,PO000076129609,,Open,4871
73556,12-03-2019,Invoice,I137792,Bluestem Brands,294,294,PO000076122094,,Open,4871
73557,12-03-2019,Invoice,I137791,Bluestem Brands,302.94,302.94,PO000076143172,,Open,4871
73558,12-03-2019,Invoice,I137790,Bluestem Brands,294,294,PO000076089958,,Open,4871
73559,12-03-2019,Invoice,I137789,Bluestem Brands,302.94,302.94,PO000076100647,,Open,4871
73560,12-03-2019,Invoice,I137788,Bluestem Brands,302.94,302.94,PO000076139708,,Open,4871
73561,12-03-2019,Invoice,I137786,Bluestem Brands,1858.21,1858.21,PO000076094022,,Open,4871
73562,12-03-2019,Invoice,I137783,Bluestem Brands,796.47,796.47,PO000076091982,,Open,4871
73563,12-03-2019,Invoice,I137780,Bluestem Brands,239,239,PO000076120241,,Open,4871
73564,12-03-2019,Invoice,I137773,Bluestem Brands,239,239,PO000076089994,,Open,4871
73565,12-03-2019,Invoice,I137753,Bluestem Brands,819,819,PO000076081505,,Open,4871
73566,12-03-2019,Invoice,I137736,Bluestem Brands,239,239,PO000076153317,,Open,4871
73567,12-03-2019,Invoice,I137674,Bluestem Brands,984.15,984.15,PO000076140973,,Open,4871
73568,12-03-2019,Invoice,I137673,Bluestem Brands,984.15,984.15,PO000076077149,,Open,4871
73569,12-03-2019,Invoice,I137662,Bluestem Brands,1497.92,1497.92,PO000076059581,,Open,4871
73570,12-03-2019,Invoice,I137661,Bluestem Brands,1497.92,1497.92,PO000076105464,,Open,4871
73571,12-03-2019,Invoice,I137658,Bluestem Brands,984.15,984.15,PO000076070727,,Open,4871
73545,12-04-2019,Invoice,I138036,Bluestem Brands,85.17,85.17,PO000076199214,,Open,4871
73546,12-04-2019,Invoice,I138030,Bluestem Brands,85.17,85.17,PO000076197222,,Open,4871
73547,12-04-2019,Invoice,I138025,Bluestem Brands,984.15,984.15,PO000076194565,,Open,4871
73548,12-04-2019,Invoice,I138002,Bluestem Brands,170.34,170.34,PO000076222569,,Open,4871
73549,12-04-2019,Invoice,I137988,Bluestem Brands,85.17,85.17,PO000076198759,,Open,4871
73550,12-04-2019,Invoice,I137973,Bluestem Brands,984.15,984.15,PO000076211276,,Open,4871
73535,12-05-2019,Invoice,I138198,Bluestem Brands,85.17,85.17,PO000076241010,,Open,4871
73536,12-05-2019,Invoice,I138197,Bluestem Brands,85.17,85.17,PO000076243206,,Open,4871
73537,12-05-2019,Invoice,I138195,Bluestem Brands,85.17,85.17,PO000076260268,,Open,4871
73538,12-05-2019,Invoice,I138188,Bluestem Brands,85.17,85.17,PO000076245273,,Open,4871
73539,12-05-2019,Invoice,I138173,Bluestem Brands,85.17,85.17,PO000076233234,,Open,4871
73540,12-05-2019,Invoice,I138172,Bluestem Brands,85.17,85.17,PO000076232493,,Open,4871
73541,12-05-2019,Invoice,I138168,Bluestem Brands,239,239,PO000076238828,,Open,4871
73542,12-05-2019,Invoice,I138144,Bluestem Brands,294,294,PO000076232522,,Open,4871
73543,12-05-2019,Invoice,I138142,Bluestem Brands,302.94,302.94,PO000076235001,,Open,4871
73544,12-05-2019,Invoice,I138140,Bluestem Brands,302.94,302.94,PO000076236102,,Open,4871
73521,12-06-2019,Invoice,I138468,Bluestem Brands,85.17,85.17,PO000076287972,,Open,4871
73522,12-06-2019,Invoice,I138465,Bluestem Brands,85.17,85.17,PO000076298011,,Open,4871
73523,12-06-2019,Invoice,I138464,Bluestem Brands,85.17,85.17,PO000076305114,,Open,4871
73524,12-06-2019,Invoice,I138459,Bluestem Brands,302.94,302.94,PO000076293453,,Open,4871
73525,12-06-2019,Invoice,I138458,Bluestem Brands,85.17,85.17,PO000076280961,,Open,4871
73526,12-06-2019,Invoice,I138457,Bluestem Brands,85.17,85.17,PO000076289522,,Open,4871
73527,12-06-2019,Invoice,I138456,Bluestem Brands,85.17,85.17,PO000076297482,,Open,4871
73528,12-06-2019,Invoice,I138454,Bluestem Brands,85.17,85.17,PO000076286156,,Open,4871
73529,12-06-2019,Invoice,I138447,Bluestem Brands,640.2,640.2,PO000076314022,,Open,4871
73530,12-06-2019,Invoice,I138446,Bluestem Brands,294,294,PO000076292898,,Open,4871
73531,12-06-2019,Invoice,I138444,Bluestem Brands,239,239,PO000076305730,,Open,4871
73532,12-06-2019,Invoice,I138441,Bluestem Brands,85.17,85.17,PO000076319688,,Open,4871
73533,12-06-2019,Invoice,I138424,Bluestem Brands,170.34,170.34,PO000076325526,,Open,4871
73534,12-06-2019,Invoice,I138406,Bluestem Brands,85.17,85.17,PO000076316430,,Open,4871
73395,12-09-2019,Invoice,I138799,Bluestem Brands,85.17,85.17,PO000076337457,,Open,4871
73396,12-09-2019,Invoice,I138758,Bluestem Brands,360.29,360.29,PO000076368323,,Open,4871
73397,12-09-2019,Invoice,I138706,Bluestem Brands,85.17,85.17,PO000076358022,,Open,4871
73398,12-09-2019,Invoice,I138702,Bluestem Brands,239,239,PO000076436815,,Open,4871
73399,12-09-2019,Invoice,I138701,Bluestem Brands,239,239,PO000076346642,,Open,4871
73400,12-09-2019,Invoice,I138698,Bluestem Brands,984.15,984.15,PO000076399994,,Open,4871
73401,12-09-2019,Invoice,I138695,Bluestem Brands,85.17,85.17,PO000076374689,,Open,4871
73402,12-09-2019,Invoice,I138693,Bluestem Brands,796.47,796.47,PO000076396958,,Open,4871
73403,12-09-2019,Invoice,I138692,Bluestem Brands,805,805,PO000076463469,,Open,4871
73504,12-09-2019,Invoice,I138679,Bluestem Brands,984.15,984.15,PO000076336617,,Open,4871
73505,12-09-2019,Invoice,I138677,Bluestem Brands,85.17,85.17,PO000076380585,,Open,4871
73506,12-09-2019,Invoice,I138676,Bluestem Brands,85.17,85.17,PO000076409511,,Open,4871
73507,12-09-2019,Invoice,I138675,Bluestem Brands,85.17,85.17,PO000076359536,,Open,4871
